op,description
"full_like(x, fill_value)","Construct a tensor with same shape as input tensor,"
"gather(data, axis, indices)",Gather values along given axis from given indices.
"gather_nd(a, indices)",Gather elements from a n-dimension array..
get_const_tuple(in_tuple),"Verifies input tuple is IntImm or Var, returns tuple of int or Var."
"greater(lhs, rhs)",Compute (lhs>rhs) with auto-broadcasting
"greater_equal(lhs, rhs)",Compute (lhs>=rhs) with auto-broadcasting
"hybrid_argwhere_1d(output_shape, condition)",Find the indices of elements of a 1-D tensor that are non-zero.
"hybrid_argwhere_2d(output_shape, condition)",Find the indices of elements of a 2-D tensor that are non-zero.
"hybrid_argwhere_3d(output_shape, condition)",Find the indices of elements of a 3-D tensor that are non-zero.
"hybrid_argwhere_4d(output_shape, condition)",Find the indices of elements of a 4-D tensor that are non-zero.
"hybrid_argwhere_5d(output_shape, condition)",Find the indices of elements of a 5-D tensor that are non-zero.
identity(x),Take identity of input x.
invert_permutation(data),Computes the inverse permutation of data.
isfinite(x),"Check if value of x is finite, element-wise."
isinf(x),"Check if value of x is infinite, element-wise."
isnan(x),"Check if value of x is NaN, element-wise."
"layout_transform(array, src_layout, dst_layout)",Transform the layout according to src_layout and dst_layout
"left_shift(lhs, rhs)",Left shift with auto-broadcasting
"less(lhs, rhs)",Compute (lhs<rhs) with auto-broadcasting
"less_equal(lhs, rhs)",Compute (lhs<=rhs) with auto-broadcasting
log(x),Take logarithm of input x.
log10(x),Take logarithm to the base 10 of input x.
log2(x),Take logarithm to the base 2 of input x.
"logical_and(lhs, rhs)",Compute element-wise logical and of data.
logical_not(data),Compute element-wise logical not of data.
"logical_or(lhs, rhs)",Compute element-wise logical or of data.
"logical_xor(lhs, rhs)",Compute element-wise logical xor of data.
"make_idx(b, e, s, z, i)",Return the array position in the selection that corresponds to an array position in the full array.
"matmul(a, b[, transp_a, transp_b])","Creates an operation that calculates a matrix multiplication (row-major notation): A(i, k) * B(k, j) if trans_a == trans_b, the usual transposed combinations, otherwise"
"matrix_set_diag(data, diagonal[, k, align])",Returns a tensor with the diagonals of input tensor replaced with the provided diagonal values.
"max(data[, axis, keepdims])",Maximum of array elements over a given axis or a list of axes
"maximum(lhs, rhs)",Take element-wise maximum of two tensors with auto-broadcasting
"meshgrid(a_tuple, indexing)",Create coordinate matrices from coordinate vectors.
"min(data[, axis, keepdims])",Minimum of array elements over a given axis or a list of axes
"minimum(lhs, rhs)",Take element-wise maximum of two tensors with auto-broadcasting
"mod(lhs, rhs)",Modulus with auto-broadcasting
"multiply(lhs, rhs)",Multiplication with auto-broadcasting
"ndarray_size(array[, dtype])",Get the number of elements of input array
negative(x),Take negation of input x.
"not_equal(lhs, rhs)",Compute (lhs!=rhs) with auto-broadcasting
"one_hot(indices, on_value, off_value, depth, ...)","Returns a one-hot tensor where the locations repsented by indices take value on_value, other locations take value off_value."
"power(lhs, rhs)",Power with auto-broadcasting
"prod(data[, axis, keepdims])",Product of array elements over a given axis or a list of axes
"reinterpret(x, dtype)",Reinterpret input to specified data type.
"repeat(a, repeats, axis)",Repeats elements of an array.
"reshape(a, newshape)",Reshape the array
"reverse_sequence(a, seq_lengths[, seq_axis, ...])",Reverse the tensor for variable length slices.
"right_shift(lhs, rhs)",Right shift with auto-broadcasting
round(x),Round elements of x to nearest integer.
rsqrt(x),Take inverse square root of input x.
"scanop(data, binop, identity_value, op_name)",Cumulative binary operator (scan) with similar axis behavior as np.cumsum and np.cumprod.
"scatter_elements(data, indices, updates[, ...])",Scatter elements from updates to corresponding indices of copied data.
"scatter_nd(data, indices, updates, mode)",Scatter elements from a n-dimension array.
"searchsorted(sorted_sequence, values[, ...])",Find indices where elements should be inserted to maintain order.
"sequence_mask(data, valid_length[, ...])",Sets all elements outside the expected length of the sequence to a constant value.
"shape(array[, dtype])",Get the shape of input array
sigmoid(x),Take sigmoid tanh of input x.
sign(x),"Returns -1, 0, 1 based on sign of x."
sin(x),Take sin of input x.
sinh(x),Take sinh of input x.
"sliding_window(data, axis, window_shape, strides)",Slide a window over the data tensor.
"sort(data[, axis, is_ascend])",Performs sorting along the given axis and returns an array in sorted order.
"sparse_reshape(sparse_indices, prev_shape, ...)",Reshape a Sparse Tensor
"sparse_to_dense(sparse_indices, ...[, ...])",Converts a sparse representation into a dense tensor.
"split(ary, indices_or_sections[, axis])",Split an array into multiple sub-arrays.
sqrt(x),Take square root of input x.
"squeeze(a[, axis])",Remove single-dimensional entries from the shape of an array.
"stack(a, axis)",Repeats the whole array multiple times.
"stft(data, n_fft, hop_length, win_length, ...)",The STFT computes the Fourier transform of short overlapping windows of the input.
"strided_set(a, v, begin, end[, strides])",Set slice of an array.
"strided_slice(a, begin, end[, strides, ...])",Slice of an array.
"subtract(lhs, rhs)",Subtraction with auto-broadcasting
"sum(data[, axis, keepdims])",Sum of array elements over a given axis or a list of axes
"take(a, indices[, axis, batch_dims, mode])",Take elements from an array along an axis.
"take_legalize(attrs, inputs, types)",Legalizes dyn.topk op.
tan(x),Take tan of input x.
tanh(x),Take hyperbolic tanh of input x.
"tensordot(a, b, axes)",A generalization of matrix multiplication to tensor.
"tile(a, reps)",Repeats the whole array multiple times.
"topk(data[, k, axis, ret_type, is_ascend, dtype])",Get the top k elements in an input tensor along the given axis.
"transpose(a[, axes])",Permute the dimensions of an array.
"trilu(data, k, upper)","Given a 2-D matrix or batches of 2-D matrices, returns the upper or lower triangular part of the tensor."
trunc(x),"Take truncated value of the input of x, element-wise."
"unique(data[, is_sorted, return_counts])",Find the unique elements of a 1-D tensor.
"unravel_index(indices, shape)",Convert a flat index or array of flat indices into a tuple of coordinate arrays.
"where(condition, x, y)","Get the elements, either from x or y, depending on the condition."
"within_index(b, e, s, i)",Return a boolean value that indicates if i is within the given index.
